x0,deltaX,bestX,bestY,steps,errorThreshold
0,0.01,0.00,1.00,1,1e-05
0,0.02,0.00,1.00,1,1e-05
0,0.03,0.00,1.00,1,1e-05
0,0.04,0.00,1.00,1,1e-05
0,0.05,0.00,1.00,1,1e-05
0,0.06,0.00,1.00,1,1e-05
0,0.07,0.00,1.00,1,1e-05
0,0.08,0.00,1.00,1,1e-05
0,0.09,0.00,1.00,1,1e-05
0,0.1,0.00,1.00,1,1e-05
1,0.01,0.01,0.99,100,1e-05
1,0.02,0.02,0.99,50,1e-05
1,0.03,0.01,0.99,34,1e-05
1,0.04,0.04,0.97,25,1e-05
1,0.05,0.05,0.97,20,1e-05
1,0.06,0.04,0.97,17,1e-05
1,0.07,0.02,0.99,15,1e-05
1,0.08,0.04,0.97,13,1e-05
1,0.09,0.01,0.99,12,1e-05
1,0.1,0.00,1.00,11,1e-05
2,0.01,0.01,0.99,200,1e-05
2,0.02,0.02,0.99,100,1e-05
2,0.03,0.02,0.99,67,1e-05
2,0.04,0.04,0.97,50,1e-05
2,0.05,0.05,0.97,40,1e-05
2,0.06,0.02,0.99,34,1e-05
2,0.07,0.04,0.97,29,1e-05
2,0.08,0.08,0.95,25,1e-05
2,0.09,0.02,0.99,23,1e-05
2,0.1,0.10,0.93,20,1e-05
3,0.01,3.54,0.40,55,1e-05
3,0.02,3.54,0.40,28,1e-05
3,0.03,3.54,0.40,19,1e-05
3,0.04,3.52,0.40,14,1e-05
3,0.05,3.55,0.40,12,1e-05
3,0.06,3.54,0.40,10,1e-05
3,0.07,3.56,0.40,9,1e-05
3,0.08,3.56,0.40,8,1e-05
3,0.09,3.54,0.40,7,1e-05
3,0.1,3.50,0.40,6,1e-05
4,0.01,3.54,0.40,47,1e-05
4,0.02,3.54,0.40,24,1e-05
4,0.03,3.55,0.40,16,1e-05
4,0.04,3.52,0.40,13,1e-05
4,0.05,3.55,0.40,10,1e-05
4,0.06,3.52,0.40,9,1e-05
4,0.07,3.51,0.40,8,1e-05
4,0.08,3.52,0.40,7,1e-05
4,0.09,3.55,0.40,6,1e-05
4,0.1,3.50,0.40,6,1e-05
5,0.01,5.01,0.36,2,1e-05
5,0.02,5.02,0.36,2,1e-05
5,0.03,5.00,0.36,1,1e-05
5,0.04,5.00,0.36,1,1e-05
5,0.05,5.00,0.36,1,1e-05
5,0.06,5.00,0.36,1,1e-05
5,0.07,5.00,0.36,1,1e-05
5,0.08,5.00,0.36,1,1e-05
5,0.09,5.00,0.36,1,1e-05
5,0.1,5.00,0.36,1,1e-05
6,0.01,6.14,0.33,15,1e-05
6,0.02,6.14,0.33,8,1e-05
6,0.03,6.15,0.33,6,1e-05
6,0.04,6.12,0.33,4,1e-05
6,0.05,6.15,0.33,4,1e-05
6,0.06,6.12,0.33,3,1e-05
6,0.07,6.14,0.33,3,1e-05
6,0.08,6.16,0.33,3,1e-05
6,0.09,6.18,0.32,3,1e-05
6,0.1,6.10,0.32,2,1e-05
7,0.01,7.09,0.31,10,1e-05
7,0.02,7.08,0.31,5,1e-05
7,0.03,7.09,0.31,4,1e-05
7,0.04,7.08,0.31,3,1e-05
7,0.05,7.10,0.31,3,1e-05
7,0.06,7.06,0.31,2,1e-05
7,0.07,7.07,0.31,2,1e-05
7,0.08,7.08,0.31,2,1e-05
7,0.09,7.09,0.31,2,1e-05
7,0.1,7.10,0.31,2,1e-05
8,0.01,7.93,0.30,8,1e-05
8,0.02,7.92,0.30,5,1e-05
8,0.03,7.94,0.30,3,1e-05
8,0.04,7.92,0.30,3,1e-05
8,0.05,7.95,0.30,2,1e-05
8,0.06,7.94,0.30,2,1e-05
8,0.07,7.93,0.30,2,1e-05
8,0.08,7.92,0.30,2,1e-05
8,0.09,7.91,0.30,2,1e-05
8,0.1,7.90,0.30,2,1e-05
9,0.01,8.68,0.29,33,1e-05
9,0.02,8.68,0.29,17,1e-05
9,0.03,8.67,0.29,12,1e-05
9,0.04,8.68,0.29,9,1e-05
9,0.05,8.70,0.29,7,1e-05
9,0.06,8.70,0.29,6,1e-05
9,0.07,8.65,0.28,6,1e-05
9,0.08,8.68,0.29,5,1e-05
9,0.09,8.64,0.27,5,1e-05
9,0.1,8.70,0.29,4,1e-05
10,0.01,10.00,0.27,1,1e-05
10,0.02,10.00,0.27,1,1e-05
10,0.03,10.00,0.27,1,1e-05
10,0.04,10.00,0.27,1,1e-05
10,0.05,10.00,0.27,1,1e-05
10,0.06,10.00,0.27,1,1e-05
10,0.07,10.00,0.27,1,1e-05
10,0.08,10.00,0.27,1,1e-05
10,0.09,10.00,0.27,1,1e-05
10,0.1,10.00,0.27,1,1e-05
